postcode_sector,Numpeople_2011_Total,Numpeople_2011_Wales,County1,County2,County3,CountyCe1,CountyCe2,CountyCe3
CF38 1,9835,9835,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF38 2,13253,13253,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF39 0,5350,5350,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF39 8,15134,15134,Rhondda Cynon Taf,Bridgend,,Mid Glamorgan,,
CF39 9,8384,8356,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF40 1,9341,9340,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF40 2,11200,11200,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF40 9,,,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF41 7,10724,10724,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF42 5,6037,6037,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF42 6,7386,7386,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF42 9,,,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF43 3,4546,4546,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF43 4,7338,7338,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF43 9,,,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF44 0,7691,7691,Rhondda Cynon Taf,Merthyr Tydfil,,Mid Glamorgan,,
CF44 4,,,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF44 6,9948,9948,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF44 7,3745,3745,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF44 8,8825,8823,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF44 9,8978,8976,Rhondda Cynon Taf,Powys,Neath Port Talbot,Mid Glamorgan,Powys,West Glamorgan
CF45 3,10254,10252,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF45 4,9296,9296,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF46 5,6367,6367,Merthyr Tydfil,,,Mid Glamorgan,,
