postcode_sector,Numpeople_2011_Total,Numpeople_2011_Wales,County1,County2,County3,CountyCe1,CountyCe2,CountyCe3
SA11 1,6180,6180,Neath Port Talbot,,,West Glamorgan,,
SA11 2,10006,9962,Neath Port Talbot,,,West Glamorgan,,
SA11 3,11475,11475,Neath Port Talbot,,,West Glamorgan,,
SA11 4,3173,3173,Neath Port Talbot,,,West Glamorgan,,
SA11 5,5790,5790,Neath Port Talbot,Powys,Rhondda Cynon Taf,West Glamorgan,Powys,Mid Glamorgan
SA11 9,,,Neath Port Talbot,,,West Glamorgan,,
SA12 6,10552,10551,Neath Port Talbot,,,West Glamorgan,,
SA12 7,8434,8434,Neath Port Talbot,,,West Glamorgan,,
SA12 8,6937,6937,Neath Port Talbot,,,West Glamorgan,,
SA12 9,6727,6727,Neath Port Talbot,,,West Glamorgan,,
SA13 1,6042,6042,Neath Port Talbot,,,West Glamorgan,,
SA13 2,8193,8193,Neath Port Talbot,,,West Glamorgan,,
SA13 3,5282,5266,Neath Port Talbot,,,West Glamorgan,,
SA13 9,,,Neath Port Talbot,,,West Glamorgan,,
SA14 6,6442,6442,Carmarthenshire,,,Dyfed,,
SA14 7,6221,6221,Carmarthenshire,,,Dyfed,,
SA14 8,12803,12803,Carmarthenshire,,,Dyfed,,
SA14 9,8251,8250,Carmarthenshire,,,Dyfed,,
SA15 1,9706,9702,Carmarthenshire,,,Dyfed,,
SA15 2,8096,8096,Carmarthenshire,,,Dyfed,,
SA15 3,7400,7399,Carmarthenshire,,,Dyfed,,
SA15 4,5179,5179,Carmarthenshire,,,Dyfed,,
SA15 5,6595,6595,Carmarthenshire,,,Dyfed,,
SA15 9,,,Carmarthenshire,,,Dyfed,,
SA16 0,8620,8620,Carmarthenshire,,,Dyfed,,
SA17 4,5828,5828,Carmarthenshire,,,Dyfed,,
SA17 5,3148,3148,Carmarthenshire,,,Dyfed,,
SA18 1,9129,9126,Carmarthenshire,Neath Port Talbot,,Dyfed,West Glamorgan,
SA18 2,9698,9698,Carmarthenshire,Swansea,,Dyfed,West Glamorgan,
SA18 3,10916,10916,Carmarthenshire,,,Dyfed,,
SA18 9,,,Carmarthenshire,,,Dyfed,,
SA19 0,,,Carmarthenshire,,,Dyfed,,
SA19 6,3209,3209,Carmarthenshire,,,Dyfed,,
SA19 7,2903,2901,Carmarthenshire,,,Dyfed,,
SA19 8,1936,1932,Carmarthenshire,,,Dyfed,,
SA19 9,1614,1614,Carmarthenshire,,,Dyfed,,
SA2 0,14012,14008,Swansea,,,West Glamorgan,,
SA2 7,11932,11932,Swansea,,,West Glamorgan,,
SA2 8,6267,6267,Swansea,,,West Glamorgan,,
SA2 9,6335,6335,Swansea,,,West Glamorgan,,
SA20 0,3515,3515,Carmarthenshire,,,Dyfed,,
SA3 1,3158,3158,Swansea,,,West Glamorgan,,
SA3 2,2715,2715,Swansea,,,West Glamorgan,,
SA3 3,3665,3665,Swansea,,,West Glamorgan,,
SA3 4,7694,7694,Swansea,,,West Glamorgan,,
SA3 5,8990,8990,Swansea,,,West Glamorgan,,
SA3 9,,,Swansea,,,West Glamorgan,,
SA31 1,5826,5826,Carmarthenshire,,,Dyfed,,
SA31 2,4191,4191,Carmarthenshire,,,Dyfed,,
SA31 3,7237,7237,Carmarthenshire,,,Dyfed,,
SA31 9,,,Carmarthenshire,,,Dyfed,,
SA32 7,3840,3840,Carmarthenshire,,,Dyfed,,
SA32 8,3700,3700,Carmarthenshire,,,Dyfed,,
SA33 4,5595,5595,Carmarthenshire,,,Dyfed,,
SA33 5,3302,3302,Carmarthenshire,,,Dyfed,,
SA33 6,3710,3708,Carmarthenshire,,,Dyfed,,
SA34 0,5019,5019,Carmarthenshire,Pembrokeshire,,Dyfed,,
SA35 0,794,794,Pembrokeshire,,,Dyfed,,
SA36 0,366,366,Pembrokeshire,,,Dyfed,,
SA37 0,1399,1399,Pembrokeshire,Carmarthenshire,,Dyfed,,
SA38 9,4513,4511,Carmarthenshire,Ceredigion,,Dyfed,,
SA39 9,2610,2610,Carmarthenshire,Ceredigion,,Dyfed,,
SA4 0,3192,3192,Carmarthenshire,,,Dyfed,,
SA4 3,10396,10387,Swansea,,,West Glamorgan,,
SA4 4,11538,11538,Swansea,,,West Glamorgan,,
SA4 5,,,Swansea,,,West Glamorgan,,
SA4 6,7044,7044,Swansea,,,West Glamorgan,,
SA4 8,6610,6610,Swansea,,,West Glamorgan,,
SA4 9,5515,5515,Swansea,,,West Glamorgan,,
SA40 9,3098,3098,Carmarthenshire,Ceredigion,,Dyfed,,
SA41 3,1943,1943,Pembrokeshire,,,Dyfed,,
SA42 0,2248,2248,Pembrokeshire,,,Dyfed,,
SA43 1,4712,4712,Ceredigion,,,Dyfed,,
SA43 2,5507,5507,Ceredigion,Pembrokeshire,,Dyfed,,
SA43 3,2677,2677,Ceredigion,Pembrokeshire,,Dyfed,,
SA44 4,4031,4026,Ceredigion,Carmarthenshire,,Dyfed,,
SA44 5,4733,4733,Ceredigion,Carmarthenshire,,Dyfed,,
SA44 6,2657,2657,Ceredigion,,,Dyfed,,
SA44 9,,,Ceredigion,,,Dyfed,,
SA45 9,1642,1642,Ceredigion,,,Dyfed,,
SA46 0,2666,2664,Ceredigion,,,Dyfed,,
SA47 0,1136,1136,Ceredigion,,,Dyfed,,
SA48 7,4760,4760,Ceredigion,,,Dyfed,,
SA48 8,4465,4465,Ceredigion,Carmarthenshire,,Dyfed,,
SA48 9,,,Ceredigion,,,Dyfed,,
SA5 4,5817,5817,Swansea,,,West Glamorgan,,
SA5 5,7624,7624,Swansea,,,West Glamorgan,,
SA5 7,6462,6462,Swansea,,,West Glamorgan,,
SA5 8,8043,8041,Swansea,,,West Glamorgan,,
SA5 9,8444,8442,Swansea,,,West Glamorgan,,
SA6 5,9029,9029,Swansea,,,West Glamorgan,,
SA6 6,13256,13250,Swansea,,,West Glamorgan,,
SA6 7,6729,6729,Swansea,,,West Glamorgan,,
SA6 8,5003,5003,Swansea,,,West Glamorgan,,
SA61 1,7934,7934,Pembrokeshire,,,Dyfed,,
SA61 2,6553,6551,Pembrokeshire,,,Dyfed,,
SA61 9,,,Pembrokeshire,,,Dyfed,,
SA62 3,5286,5286,Pembrokeshire,,,Dyfed,,
SA62 4,4295,4295,Pembrokeshire,,,Dyfed,,
SA62 5,5547,5547,Pembrokeshire,,,Dyfed,,
SA62 6,5768,5768,Pembrokeshire,,,Dyfed,,
SA63 4,1263,1263,Pembrokeshire,,,Dyfed,,
SA64 0,2379,2379,Pembrokeshire,,,Dyfed,,
SA65 0,,,Pembrokeshire,,,Dyfed,,
SA65 9,4401,4401,Pembrokeshire,,,Dyfed,,
SA66 7,3200,3200,Pembrokeshire,Carmarthenshire,,Dyfed,,
SA67 7,2298,2298,Pembrokeshire,,,Dyfed,,
SA67 8,4640,4636,Pembrokeshire,Carmarthenshire,,Dyfed,,
SA67 9,,,Pembrokeshire,,,Dyfed,,
SA68 0,4179,4179,Pembrokeshire,,,Dyfed,,
SA69 9,3707,3707,Pembrokeshire,,,Dyfed,,
SA7 0,2281,2281,Swansea,,,West Glamorgan,,
SA7 9,12732,12732,Swansea,Neath Port Talbot,,West Glamorgan,,
SA70 7,3407,3407,Pembrokeshire,,,Dyfed,,
SA70 8,6116,6116,Pembrokeshire,,,Dyfed,,
SA70 9,,,Pembrokeshire,,,Dyfed,,
SA71 4,5703,5703,Pembrokeshire,,,Dyfed,,
SA71 5,4639,4639,Pembrokeshire,,,Dyfed,,
SA72 4,787,787,Pembrokeshire,,,Dyfed,,
SA72 6,9722,9722,Pembrokeshire,,,Dyfed,,
SA72 9,,,Pembrokeshire,,,Dyfed,,
SA73 1,8426,8426,Pembrokeshire,,,Dyfed,,
SA73 2,6305,6305,Pembrokeshire,,,Dyfed,,
SA73 3,5633,5633,Pembrokeshire,,,Dyfed,,
SA8 3,4896,4896,Neath Port Talbot,,,West Glamorgan,,
SA8 4,7595,7587,Neath Port Talbot,Swansea,,West Glamorgan,,
SA8 9,,,Neath Port Talbot,,,West Glamorgan,,
SA80 8,,,Swansea,,,West Glamorgan,,
SA9 1,7806,7803,Powys,Neath Port Talbot,,Powys,West Glamorgan,
SA9 2,7262,7262,Neath Port Talbot,Carmarthenshire,Powys,West Glamorgan,Powys,Dyfed
SA9 5,,,Neath Port Talbot,,,West Glamorgan,,
SA99 1,,,Swansea,,,West Glamorgan,,
SY10 0,2240,2240,Powys,,,Powys,,
SY10 7,4820,718,Powys,Wrexham,,Powys,Clwyd,
SY10 9,4806,477,Powys,,,Powys,,
SY13 2,4218,461,Wrexham,,,Clwyd,,
SY13 3,2701,1635,Wrexham,,,Clwyd,,
SY13 4,3001,18,Wrexham,,,Clwyd,,
SY14 7,2661,510,Wrexham,,,Clwyd,,
SY15 6,5408,4637,Powys,,,Powys,,
SY16 1,6605,6605,Powys,,,Powys,,
SY16 2,3782,3782,Powys,,,Powys,,
SY16 3,2967,2967,Powys,,,Powys,,
SY16 4,2667,2667,Powys,,,Powys,,
SY16 9,,,Powys,,,Powys,,
SY17 5,3749,3747,Powys,,,Powys,,
SY18 6,4648,4648,Powys,,,Powys,,
SY18 9,,,Powys,,,Powys,,
SY19 7,1035,1035,Powys,,,Powys,,
SY20 8,4626,4625,Powys,Ceredigion,Gwynedd,Powys,Dyfed,Gwynedd
SY20 9,2291,2288,Powys,Gwynedd,,Powys,Gwynedd,
SY21 0,3241,3241,Powys,,,Powys,,
SY21 7,5897,5897,Powys,,,Powys,,
SY21 8,4695,4388,Powys,,,Powys,,
SY21 9,3303,3303,Powys,,,Powys,,
SY22 5,2066,2066,Powys,,,Powys,,
SY22 6,6788,6245,Powys,,,Powys,,
SY23 1,7200,7176,Ceredigion,,,Dyfed,,
SY23 2,4266,4257,Ceredigion,,,Dyfed,,
SY23 3,10900,10897,Ceredigion,,,Dyfed,,
SY23 4,5515,5515,Ceredigion,Powys,,Dyfed,Powys,
SY23 5,3033,3031,Ceredigion,,,Dyfed,,
SY23 9,,,Ceredigion,,,Dyfed,,
SY24 5,4707,4706,Ceredigion,,,Dyfed,,
SY25 6,4400,4400,Ceredigion,,,Dyfed,,
SY5 0,6007,154,Powys,,,Powys,,
SY5 9,4817,701,Powys,,,Powys,,
SY7 8,3164,6,Powys,,,Powys,,
SY9 5,2821,24,Powys,,,Powys,,
