ID,postcode_sector_coded_REAL_W1
858,NP20 3
859,LL29 9
860,SY23 5
861,CF14 4
862,CF10 4
863,CF14 9
864,SA15 1
865,LL65 4
866,CF15 9
867,SA2 8
868,SY21 8
869,SA44 5
870,SA5 9
871,NP20 6
872,CH7 3
873,CF64 3
874,LL13 7
875,CF5 3
876,NP23 5
877,SA3 5
878,CF24 3
879,SA31 1
880,CF39 8
881,SA19 6
882,CF31 1
883,LL57 3
884,SA41 3
885,CF14 6
886,CF14 6
887,CF64 1
888,CF71 7
889,NP4 8
890,SA5 8
891,CF31 2
892,LL18 3
893,NP8 1
894,SA35 0
895,SA3 3
896,LL54 5
897,SA15 1
898,LL13 0
899,SA43 3
900,SY16 1
901,CF36 5
902,SA9 2
903,CF31 2
904,CF5 5
905,LL21 0
906,LL54 6
907,CF32 0
908,SA5 4
909,CF83 2
910,NP12 2
911,SY23 3
912,NP20 6
913,NP7 9
914,SA3 5
915,CF46 5
916,SA70 8
917,LL29 7
918,CF32 8
919,CF15 8
920,LL51 9
921,CF71 7
922,LL16 4
923,SY23 2
924,CF62 7
925,CF31 5
926,LL30 3
927,CF10 5
928,CF34 0
929,SY16 3
930,LL13 0
931,CF64 2
932,CF47 0
933,NP20 7
934,LL31 9
935,LL34 6
936,LL30 1
937,LL11 3
938,NP44 8
939,SA1 8
940,CF15 7
941,SA11 3
942,CF31 5
943,SA4 4
944,CF14 6
945,NP10 9
946,CF24 0
947,SA7 0
948,CF43 4
949,SY20 8
950,CF44 8
951,CF24 2
952,SA14 7
953,CF32 0
954,SA62 3
955,CF71 7
956,CF47 0
957,SA14 7
958,NP12 3
959,CF62 7
960,LL28 5
961,LL21 9
962,SA4 3
963,LL55 4
964,SA12 7
965,LL11 4
966,CH7 6
967,LL31 9
968,NP26 3
969,CF14 5
970,LL59 5
971,CF48 1
972,SY23 1
973,LL30 3
974,CF23 9
975,CH5 4
976,CF5 6
977,CF11 8
978,NP23 6
979,CF15 8
980,NP10 8
981,CF46 6
982,SA10 7
983,NP25 5
984,NP11 4
985,LL65 2
986,CF5 3
987,CF11 6
988,SA73 2
989,NP19 0
990,CF10 3
991,SA1 7
992,NP26 5
993,CF62 9
994,SA9 2
995,LD3 9
996,NP19 8
997,__NA__
998,LL57 1
999,NP20 6
1000,LL55 4
1001,CF24 3
1002,LL29 8
1003,__NA__
1004,LL62 5
1005,SA1 1
1006,CH8 9
1007,CF83 3
1008,LL57 2
1009,CF14 5
1010,NP16 5
1011,NP22 4
1012,LL13 9
1013,CF24 3
1014,CF31 2
1015,CF64 5
1016,CF48 3
1017,NP10 8
1018,CF14 3
1019,CF33 4
1020,SA31 2
1021,SA10 7
1022,CF47 9
1023,SA11 3
1024,SA7 9
1025,NP44 5
1026,LD1 5
1027,LL28 5
1028,SA63 4
1029,SA14 7
1030,LL57 1
1031,CF82 7
1032,CF38 1
1033,SY23 3
1034,CH6 5
1035,CH4 0
1036,LL13 7
1037,LL11 2
1038,CH5 4
1039,CF36 5
1040,CF24 2
1041,CF24 4
1042,CF24 4
1043,LL22 8
1044,SA9 1
1045,CF10 3
1046,LL14 1
1047,CF15 8
1048,LL11 3
1049,CF15 9
1050,CF64 2
1051,SA64 0
1052,LL77 7
1053,CF47 0
1054,CF23 6
1055,CF37 1
