geography,population,density
BD5  9,10488,83.3
BD6  1,9491,37.7
BD6  2,7616,49.8
BD6  3,12965,51.5
BD7  1,6140,41.4
BD7  2,11830,53
BD7  3,8650,74.2
BD7  4,8725,52.1
BD8  0,7933,42.5
BD8  7,6679,33.5
BD8  8,6659,93.8
BD8  9,10231,118.8
BD9  4,9552,55
BD9  5,10933,84.3
BD9  6,8824,23.9
BH1  1,2648,47.8
BH1  2,1096,58.1
BH1  3,6470,44
BH1  4,9090,105
BH10 4,4123,36.1
BH10 5,7037,44.4
BH10 6,5043,36.7
BH10 7,3859,17.3
BH11 8,9887,35.7
BH11 9,10023,23.4
BH12 1,6253,31.3
BH12 2,7955,61
BH12 3,8011,56.8
BH12 4,8709,26.5
BH12 5,4343,28.5
BH13 6,4570,23.6
BH13 7,3751,12
BH14 0,7000,44.5
BH14 8,9262,27.1
BH14 9,7170,38.4
BH15 1,6176,38.1
BH15 2,6073,40.3
BH15 3,11277,33.2
BH15 4,9526,25.7
BH16 5,10947,19.6
BH16 6,4888,1.4
BH17 7,8904,25
BH17 8,7525,38.2
BH17 9,6554,20.8
BH18 8,4652,13.1
BH18 9,6476,21.3
BH19 1,4077,6.7
BH19 2,5524,10.7
BH19 3,1916,0.5
BH2  5,4479,45.6
BH2  6,3866,45.1
BH20 4,5496,8.7
BH20 5,3940,0.3
BH20 6,5953,1.4
BH20 7,4565,0.6
BH21 1,10432,15.4
BH21 2,9008,10.9
BH21 3,10677,4.9
BH21 4,2220,0.8
BH21 5,2407,0.3
BH21 6,1492,3.5
BH21 7,3813,0.7
BH21 8,522,0.5
BH22 0,7561,8.9
BH22 8,10856,11.3
BH22 9,8374,14.3
BH23 1,5592,25.3
BH23 2,12055,19
BH23 3,8891,30
BH23 4,9687,20.1
BH23 5,6849,22.8
BH23 6,501,0.2
BH23 7,4485,3.8
BH23 8,4758,1.6
BH24 1,10473,21
BH24 2,6859,2.8
BH24 3,4879,0.6
BH24 4,1384,0.3
BH25 5,12352,8.4
BH25 6,6598,23
BH25 7,6767,20.9
BH3  7,5740,27.1
BH31 6,10168,12.9
BH31 7,3192,5.9
BH4  8,5323,47.8
BH4  9,4059,35.4
BH5  1,6383,67.7
BH5  2,4863,55
BH6  3,9043,52.2
BH6  4,3617,12
BH6  5,9539,53.5
BH7  6,8130,41.7
BH7  7,3690,18.8
BH8  0,7307,27.9
BH8  8,12631,79.7
BH8  9,8077,25.1
BH9  1,12693,78.4
BH9  2,8878,61.5
BH9  3,10048,34.9
BL0  0,5575,2.4
BL0  9,12178,31.8
BL1  1,413,15
BL1  2,4243,25.6
BL1  3,9919,77.6
BL1  4,9093,49.4
BL1  5,12151,16.6
BL1  6,8641,11.5
BL1  7,8374,14
BL1  8,10965,47.1
BL2  1,3922,44.3
BL2  2,8402,46.9
BL2  3,8526,24.1
BL2  4,4708,6.8
BL2  5,9312,35.7
BL2  6,10663,18.3
BL3  1,12315,26.4
BL3  2,9408,32.1
BL3  3,14867,53.8
BL3  4,14244,37.8
BL3  5,7974,51.5
BL3  6,5470,42.2
BL4  0,10178,44.9
BL4  7,6773,32
BL4  8,8127,19.9
BL4  9,8372,45
BL5  1,2664,3
BL5  2,12536,20.4
BL5  3,11840,10.3
BL6  4,5996,7
BL6  5,10071,10.5
BL6  6,6889,6.4
BL6  7,6472,5.1
BL7  0,3180,1.1
BL7  8,687,0.3
BL7  9,11092,18.6
BL8  1,12753,32.2
BL8  2,10344,27.8
BL8  3,8287,9.9
BL8  4,4413,4.3
BL9  0,2526,25.8
BL9  5,6689,11.6
BL9  6,8736,4.2
BL9  7,9964,17
BL9  8,9409,10.1
BL9  9,10898,32.2
BN1  1,2003,39.8
BN1  2,4947,126
BN1  3,10243,176.6
BN1  4,8809,116
BN1  5,10150,14.8
BN1  6,17167,60.4
BN1  7,8422,42.8
BN1  8,14489,17.9
BN1  9,8545,3.8
BN10 7,9126,20.2
BN10 8,9453,22.8
BN11 1,4628,69.9
BN11 2,9066,44.7
BN11 3,4200,70.1
BN11 4,8956,84.6
BN11 5,6428,51.6
BN12 4,7807,31
BN12 5,4415,17.1
BN12 6,7905,20.9
BN13 1,8137,52.9
BN13 2,10512,50.2
BN13 3,8887,4.5
BN14 0,5739,3.1
BN14 7,10779,61.1
BN14 8,6774,39.6
BN14 9,7444,12.6
BN15 0,8486,5
BN15 8,7801,27.7
BN15 9,11084,24.4
BN16 1,6626,15.2
BN16 2,6920,27
BN16 3,8060,44.8
BN16 4,6728,4.1
BN17 5,6494,7.6
BN17 6,13671,32.8
BN17 7,8127,22.1
BN18 0,8600,1.6
BN18 9,4868,0.9
BN2  0,6966,81.3
BN2  1,10122,125.7
BN2  3,12387,99.7
BN2  4,16183,27.6
BN2  5,12830,23
BN2  6,9793,11.6
BN2  7,4375,8.6
BN2  8,8561,20.2
BN2  9,11526,163.1
BN20 0,1620,1.9
BN20 7,5862,5.1
BN20 8,8331,10
BN20 9,5138,11.9
BN21 1,6943,41.3
BN21 2,9050,27.7
BN21 3,5506,83.1
BN21 4,4276,70.6
BN22 0,9479,31.8
BN22 7,4774,54.6
BN22 8,10355,27.5
BN22 9,7638,31.3
BN23 5,6273,53.7
BN23 6,6715,36.4
BN23 7,7246,33.6
BN23 8,8068,40.3
BN24 5,6255,2.1
BN24 6,3036,4.9
BN25 1,4666,23.6
BN25 2,7255,12.9
BN25 3,8838,14.3
BN25 4,2812,8.1
BN26 5,6296,1.2
