CaseID,ProjectTitle,Applicant,Applicant postcode,Scheme,ProjectDescription,Projectstartdate,Projectenddate,Govfundsawarded,record_complete,match_rdp,match_sfp,Geo,Visibility,Timing,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county1cash,county2cash,county3cash,county4cash,county5cash,county6cash,county7cash,county8cash,county9cash,county10cash,county11cash,county12cash,county13cash,county14cash,county15cash,county16cash,county17cash,county18cash,county19cash,county20cash,county21cash,county22cash,Local1,Local2,Local3,Local4,Local5,Local6,Local7,Local8,Local9,Local10,Local11,Local12,Local13,Local14,Local15,Local16,Local17,Local18,Local19,Local20,Local21,Local22,Local23,Local24,Local25,Local26,Local27,Local28,Local29,Local30,Local31,Local32,Local33,Local34,Local35,Local36,Local37,Local38,Local39,Local40,Local41,Local42,Local43,Local44,Local45,Local46,Local47,Local48,Local49,Local50,postcode_sector1,postcode_sector2,postcode_sector3,postcode_sector4,postcode_sector5,postcode_sector6,postcode_sector7,postcode_sector8,postcode_sector9,postcode_sector10,postcode_sector11,postcode_sector12,postcode_sector13,postcode_sector14,postcode_sector15,postcode_sector16,postcode_sector17,postcode_sector18,postcode_sector19,postcode_sector20,postcode_sector21,postcode_sector22,postcode_sector23,postcode_sector24,postcode_sector25,postcode_sector26,postcode_sector27,postcode_sector28,postcode_sector29,postcode_sector30,postcode_sector31,postcode_sector32,postcode_sector33,postcode_sector34,postcode_sector35,postcode_sector36,postcode_sector37,postcode_sector38,postcode_sector39,postcode_sector40,postcode_sector41,postcode_sector42,postcode_sector43,postcode_sector44,postcode_sector45,postcode_sector46,postcode_sector47,postcode_sector48,postcode_sector49,postcode_sector50,spending1,spending2,spending3,spending4,spending5,spending6,spending7,spending8,spending9,spending10,spending11,spending12,spending13,spending14,spending15,spending16,spending17,spending18,spending19,spending20,spending21,spending22,spending23,spending24,spending25,spending26,spending27,spending28,spending29,spending30,spending31,spending32,spending33,spending34,spending35,spending36,spending37,spending38,spending39,spending40,spending41,spending42,spending43,spending44,spending45,spending46,spending47,spending48,spending49,spending50,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,,,,Notes
21,Beicio Treganna Cycle,Cardiff Council,CF10 4UW,,No details found,,,"£6,630 ",0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Connecting and caring for Grangetown's Green Spaces,Cardiff Council,CF10 4UW,,"Connecting and Caring for Grangetown’s Green Spaces is a 6-month project starting in January 2022, funded by the UK Government UK Community Renewal Fund, and managed by the Grange Pavilion Charitable Incorporated Organisation. ",,,"£66,876 ",1,#N/A,#N/A,3,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardiff,Cardiff,Cardiff,Cardiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF11 6,CF11 7,CF11 8,CF11 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16719.08,16719.08,16719.08,16719.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Cycling Together,Cardiff Council,CF10 4UW,,No details found,,,"£15,300 ",0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Employer Needs, Future Workers!",Cardiff Council,CF10 4UW,,"Help with CV writing, skills for work, and developing knowledge of local businesses.",,,"£68,763 ",1,#N/A,#N/A,2,2,23,21,,,,,,,,,,,,,,,,,,,,,,"£68,763 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asssume only Cardiff
25,Enterprise Cardiff,Cardiff Council,CF10 4UW,,Supporting people going in to self-employment.,,,"£219,520 ",1,#N/A,#N/A,2,2,23,21,,,,,,,,,,,,,,,,,,,,,,"£219,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear information on visibility
26,Migrant Employment Assistance Wales / MEA Wales,Cardiff Council,CF10 4UW,,No details found,,,"£110,632 ",0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Priority Sector Skills Academies,Cardiff Council,CF10 4UW,,Cardiff and Vale College - realise the first ever Priority Sector Skills Academies in Wales. Three 35-hour-per-week full-time intensive upskilling courses designed to meet the needs of local industry. ,,,"£138,284 ",1,#N/A,#N/A,3,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF3 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Rapid Reskilling,Cardiff Council,CF10 4UW,,No details found,,,"£156,892 ",0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,The Cardiff Circular Economy Network (CCEN),Cardiff Council,CF10 4UW,,"The Cardiff Circular Economy Network (CCEN) is a collaborative project between Cardiff Metropolitan University, Celsa Steel UK, One Planet Cardiff and Cardiff Commitment (Curriculum Development). The project is funded by the UK Government through the UK Community Renewal Fund.",,,"£53,807 ",1,#N/A,#N/A,2,2,23,21,,,,,,,,,,,,,,,,,,,,,,"£53,807 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Banc Sgiliau Busnes Sir Gar/ Business Skills Bank Sir Gar (BSB Sir Gar),Carmarthenshire County Council,SA31 1JP,,"Offering self-employed and micro enterprises the opportunity to develop an entrepreneurial, innovative culture by supporting them to access specialist skills, increase their performance and become more resilient and competitive in their marketplace.",,,"£110,160 ",1,#N/A,#N/A,2,2,23,10,,,,,,,,,,,,,,,,,,,,,,"£110,160 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
